timestamp_ms,joint_val_1,joint_val_2,joint_val_3,joint_val_4
0,,,,
20,0.420551,0.148430,4.156032,-3.958125
40,0.445289,0.148430,4.057078,-4.057078
60,0.371074,0.173168,4.156032,-3.958125
80,0.321598,0.049477,4.180769,-3.908648
100,0.371074,0.074215,4.180769,-3.958125
120,0.371074,0.123691,4.156032,-3.982863
140,0.445289,0.222645,4.081817,-4.007602
160,0.321598,0.049477,4.180769,-3.883910
180,0.420551,0.074215,4.205508,-3.908648
199,0.420551,0.123691,4.180769,-3.883910
220,0.445289,0.222645,4.081817,-4.057078
240,0.445289,0.148430,4.106555,-4.007602
260,0.346336,0.024738,4.205508,-3.859172
280,0.420551,0.024738,4.230246,-3.859172
300,0.420551,0.123691,4.106555,-3.958125
320,0.470027,0.222645,4.007602,-4.081817
340,0.420551,0.123691,4.180769,-3.883910
360,0.346336,0.024738,4.230246,-3.883910
380,0.346336,0.074215,4.180769,-3.908648
400,0.445289,0.173168,4.106555,-4.007602
420,0.445289,0.123691,4.156032,-3.982863
440,0.346336,0.074215,4.205508,-3.908648
460,0.346336,0.074215,4.205508,-3.908648
480,0.420551,0.123691,4.205508,-3.982863
500,0.470027,0.173168,4.106555,-4.007602
520,0.321598,0.074215,4.106555,-4.007602
540,0.321598,0.024738,4.230246,-3.784957
560,0.420551,0.049477,4.230246,-3.859172
580,0.470027,0.148430,4.081817,-4.007602
600,0.445289,0.173168,4.081817,-3.982863
620,0.321598,0.123691,4.205508,-3.859172
640,0.346336,0.049477,4.180769,-3.883910
660,0.371074,0.148430,4.156032,-3.958125
680,0.470027,0.173168,4.106555,-3.958125
700,0.371074,0.148430,4.156032,-3.908648
720,0.346336,0.049477,4.205508,-3.908648
740,0.371074,0.049477,4.180769,-3.908648
760,0.371074,0.148430,4.081817,-3.982863
780,0.420551,0.222645,4.057078,-4.081817
800,0.346336,0.049477,4.205508,-3.859172
820,0.346336,0.049477,4.180769,-3.883910
840,0.346336,0.123691,4.180769,-3.958125
860,0.519504,0.173168,4.057078,-4.081817
880,0.445289,0.148430,4.156032,-4.007602
900,0.272121,0.024738,4.230246,-3.859172
920,0.371074,0.148430,4.180769,-3.883910
940,0.371074,0.148430,4.081817,-4.007602
960,0.445289,0.148430,4.081817,-4.007602
980,0.346336,0.148430,4.205508,-3.908648
1000,0.371074,0.024738,4.156032,-3.908648
1020,0.420551,0.123691,4.081817,-3.958125
1040,0.519504,0.173168,4.081817,-4.007602
1060,0.420551,0.148430,4.180769,-3.958125
1080,0.346336,0.049477,4.205508,-3.883910
1100,0.346336,0.123691,4.180769,-3.883910
1120,0.371074,0.148430,4.081817,-3.958125
1140,0.420551,0.148430,4.156032,-3.958125
1160,0.371074,0.074215,4.180769,-3.859172
1180,0.420551,0.049477,4.180769,-3.908648
1200,0.420551,0.148430,4.081817,-4.007602
1220,0.420551,0.173168,4.057078,-4.007602
1240,0.420551,0.148430,4.081817,-3.958125
1260,0.346336,0.123691,4.156032,-3.883910
1280,0.420551,0.074215,4.180769,-3.908648
1300,0.445289,0.222645,4.007602,-4.007602
1320,0.445289,0.222645,4.081817,-3.982863
1340,0.321598,0.074215,4.230246,-3.883910
1360,0.321598,0.024738,4.180769,-3.883910
1380,0.371074,0.148430,4.106555,-3.982863
1400,0.470027,0.222645,4.156032,-3.958125
1420,0.420551,0.123691,4.156032,-3.883910
1440,0.272121,0.074215,4.230246,-3.859172
1460,0.371074,0.148430,4.156032,-3.958125
1480,0.371074,0.148430,4.081817,-3.982863
1500,0.445289,0.148430,4.180769,-3.958125
1520,0.371074,0.074215,4.156032,-3.859172
1540,0.420551,0.049477,4.180769,-3.908648
1560,0.445289,0.123691,4.106555,-4.007602
1580,0.420551,0.222645,4.106555,-4.007602
1600,0.420551,0.173168,4.180769,-3.908648
1620,0.371074,0.074215,4.230246,-3.859172
1640,0.420551,0.123691,4.205508,-3.958125
1660,0.470027,0.173168,4.057078,-4.007602
1680,0.420551,0.148430,4.156032,-3.958125
1700,0.321598,0.148430,4.180769,-3.883910
1720,0.346336,0.024738,4.180769,-3.883910
1740,0.371074,0.148430,4.081817,-3.958125
1760,0.519504,0.148430,4.156032,-3.958125
1780,0.420551,0.123691,4.230246,-3.958125
1800,0.346336,0.049477,4.180769,-3.859172
1820,0.420551,0.123691,4.180769,-3.958125
1840,0.445289,0.148430,4.081817,-4.007602
1860,0.420551,0.123691,4.106555,-3.982863
1880,0.371074,0.074215,4.180769,-3.883910
1900,0.371074,0.024738,4.230246,-3.883910
1920,0.445289,0.074215,4.156032,-3.958125
1940,0.470027,0.173168,4.081817,-3.982863
1960,0.371074,0.123691,4.180769,-3.908648
1980,0.321598,0.074215,4.230246,-3.883910
2000,0.321598,0.049477,4.230246,-3.908648
2020,0.470027,0.148430,4.106555,-3.982863
2040,0.470027,0.222645,4.057078,-4.007602
2060,0.321598,0.074215,4.156032,-3.908648
2080,0.346336,0.074215,4.180769,-3.883910
2100,0.346336,0.148430,4.156032,-4.007602
2120,0.445289,0.222645,4.081817,-4.081817
2140,0.445289,0.148430,4.156032,-3.958125
2160,0.420551,0.074215,4.180769,-3.883910
2180,0.470027,0.049477,4.156032,-3.883910
2200,0.420551,0.123691,4.156032,-3.908648
2220,0.420551,0.148430,4.081817,-3.958125
2240,0.346336,0.148430,4.180769,-3.958125
2260,0.321598,0.074215,4.205508,-3.883910
2280,0.371074,0.123691,4.180769,-3.908648
2300,0.445289,0.173168,4.081817,-4.081817
2320,0.470027,0.148430,4.081817,-3.883910
2340,0.272121,0.049477,4.180769,-3.859172
2360,0.371074,0.123691,4.205508,-3.883910
2380,0.445289,0.173168,4.106555,-3.958125
2400,0.470027,0.222645,4.057078,-4.057078
2420,0.470027,0.123691,4.106555,-3.958125
2440,0.346336,0.049477,4.230246,-3.883910
2460,0.346336,0.049477,4.180769,-3.908648
2480,0.445289,0.173168,4.057078,-4.057078
2500,0.420551,0.173168,4.057078,-4.007602
2520,0.371074,0.074215,4.205508,-3.859172
2540,0.371074,0.049477,4.180769,-3.883910
2560,0.470027,0.148430,4.106555,-3.982863
2580,0.420551,0.148430,4.081817,-4.007602
2600,0.420551,0.123691,4.106555,-3.958125
2620,0.346336,0.024738,4.279723,-3.784957
2640,0.445289,0.123691,4.180769,-3.883910
2660,0.420551,0.173168,4.081817,-3.958125
2680,0.519504,0.173168,4.106555,-3.982863
2700,0.346336,0.049477,4.230246,-3.883910
2720,0.272121,0.049477,4.279723,-3.809695
2740,0.420551,0.173168,4.081817,-3.982863
2760,0.445289,0.148430,4.156032,-3.982863
2780,0.420551,0.123691,4.106555,-3.958125
2800,0.321598,0.074215,4.279723,-3.809695
2820,0.346336,0.123691,4.180769,-3.958125
2840,0.445289,0.222645,4.057078,-4.007602
2860,0.519504,0.148430,4.106555,-3.908648
2880,0.346336,0.074215,4.205508,-3.883910
2900,0.321598,0.024738,4.156032,-3.883910
2920,0.371074,0.074215,4.180769,-3.958125
2940,0.470027,0.148430,4.106555,-3.982863
2960,0.420551,0.123691,4.180769,-3.908648
2980,0.371074,0.123691,4.180769,-3.958125
3000,0.470027,0.074215,4.180769,-3.958125
3020,0.445289,0.148430,4.057078,-4.007602
3040,0.445289,0.123691,4.106555,-4.007602
3060,0.420551,0.074215,4.205508,-3.908648
3080,0.346336,0.123691,4.205508,-3.859172
3100,0.470027,0.123691,4.081817,-3.982863
3120,0.420551,0.222645,4.156032,-4.007602
3140,0.346336,0.123691,4.180769,-3.908648
3160,0.346336,0.049477,4.180769,-3.908648
3180,0.371074,0.123691,4.106555,-3.982863
3200,0.519504,0.173168,4.081817,-4.007602
3220,0.371074,0.148430,4.180769,-3.958125
3240,0.445289,0.074215,4.156032,-3.883910
3260,0.371074,0.049477,4.230246,-3.859172
3280,0.445289,0.074215,4.057078,-4.007602
3300,0.420551,0.173168,4.081817,-4.007602
3320,0.346336,0.049477,4.180769,-3.982863
3340,0.420551,0.074215,4.180769,-3.908648
3360,0.420551,0.123691,4.106555,-3.958125
3380,0.445289,0.222645,4.106555,-4.081817
3400,0.420551,0.173168,4.106555,-3.982863
3420,0.321598,0.049477,4.205508,-3.883910
3440,0.346336,0.049477,4.106555,-3.883910
3460,0.371074,0.049477,4.081817,-3.958125
3480,0.445289,0.148430,4.081817,-4.007602
3500,0.346336,0.148430,4.180769,-3.883910
3520,0.321598,0.024738,4.279723,-3.784957
3540,0.371074,0.074215,4.106555,-3.883910
3560,0.445289,0.148430,4.156032,-4.007602
3580,0.420551,0.148430,4.156032,-3.958125
3600,0.371074,0.123691,4.156032,-3.958125
3620,0.371074,0.074215,4.106555,-3.883910
3640,0.420551,0.123691,4.106555,-3.982863
3660,0.470027,0.173168,4.106555,-3.982863
3680,0.371074,0.148430,4.106555,-3.958125
3700,0.371074,0.074215,4.180769,-3.908648
3720,0.346336,0.049477,4.230246,-3.883910
