timestamp_ms,joint_val_1,joint_val_2,joint_val_3,joint_val_4
0,,,,
20,-0.272121,0.148430,4.576582,-3.982863
40,-0.346336,0.173168,4.626059,-3.982863
60,-0.321598,0.148430,4.626059,-3.982863
80,-0.346336,0.247383,4.626059,-3.982863
100,-0.247383,0.247383,4.428153,-4.106555
120,-0.321598,0.222645,4.502367,-4.081817
140,-0.420551,0.148430,4.675535,-3.908648
160,-0.346336,0.247383,4.576582,-4.057078
180,-0.321598,0.222645,4.527106,-4.007602
200,-0.371074,0.222645,4.576582,-4.007602
220,-0.420551,0.173168,4.675535,-3.982863
240,-0.420551,0.123691,4.700274,-3.958125
260,-0.371074,0.247383,4.601320,-4.007602
280,-0.321598,0.272121,4.502367,-4.106555
300,-0.420551,0.173168,4.576582,-4.007602
320,-0.420551,0.123691,4.675535,-3.982863
340,-0.371074,0.148430,4.601320,-3.908648
360,-0.321598,0.247383,4.502367,-4.057078
380,-0.247383,0.222645,4.502367,-4.057078
400,-0.346336,0.123691,4.626059,-3.958125
420,-0.420551,0.123691,4.601320,-3.958125
440,-0.371074,0.148430,4.576582,-4.007602
460,-0.247383,0.222645,4.477629,-4.106555
480,-0.321598,0.222645,4.576582,-4.057078
500,-0.371074,0.074215,4.700274,-3.982863
520,-0.371074,0.148430,4.675535,-4.007602
540,-0.321598,0.247383,4.477629,-4.057078
560,-0.247383,0.173168,4.502367,-4.007602
580,-0.371074,0.148430,4.626059,-3.908648
600,-0.420551,0.123691,4.675535,-3.908648
620,-0.346336,0.173168,4.601320,-4.007602
640,-0.321598,0.247383,4.576582,-4.057078
660,-0.371074,0.173168,4.576582,-4.057078
680,-0.371074,0.173168,4.601320,-4.007602
700,-0.371074,0.173168,4.626059,-4.007602
720,-0.371074,0.173168,4.601320,-4.081817
740,-0.321598,0.173168,4.576582,-4.081817
760,-0.321598,0.173168,4.675535,-4.007602
780,-0.445289,0.173168,4.700274,-3.982863
800,-0.321598,0.247383,4.576582,-4.007602
820,-0.247383,0.247383,4.502367,-4.081817
840,-0.321598,0.173168,4.576582,-4.007602
860,-0.371074,0.123691,4.626059,-3.982863
880,-0.371074,0.173168,4.675535,-4.057078
900,-0.321598,0.173168,4.502367,-4.081817
920,-0.346336,0.222645,4.428153,-4.106555
940,-0.321598,0.173168,4.601320,-3.883910
960,-0.371074,0.148430,4.626059,-3.908648
980,-0.346336,0.173168,4.502367,-3.908648
1000,-0.247383,0.247383,4.576582,-4.106555
1020,-0.346336,0.222645,4.576582,-4.081817
1040,-0.346336,0.074215,4.576582,-4.057078
1060,-0.346336,0.173168,4.626059,-3.982863
1080,-0.346336,0.148430,4.626059,-3.982863
1100,-0.247383,0.272121,4.477629,-4.156032
1120,-0.321598,0.247383,4.601320,-4.106555
1140,-0.346336,0.123691,4.527106,-3.908648
1160,-0.371074,0.148430,4.626059,-3.908648
1180,-0.247383,0.247383,4.576582,-4.081817
1200,-0.272121,0.247383,4.576582,-4.057078
1220,-0.371074,0.173168,4.601320,-3.958125
1240,-0.371074,0.148430,4.725012,-3.982863
1260,-0.321598,0.247383,4.675535,-4.081817
1280,-0.321598,0.222645,4.576582,-4.057078
1300,-0.371074,0.247383,4.576582,-3.982863
1320,-0.371074,0.148430,4.626059,-3.982863
1340,-0.371074,0.148430,4.626059,-3.982863
1360,-0.272121,0.222645,4.576582,-4.057078
1380,-0.272121,0.222645,4.576582,-4.156032
1400,-0.371074,0.074215,4.675535,-3.982863
1421,-0.371074,0.123691,4.626059,-3.908648
1440,-0.346336,0.148430,4.576582,-4.007602
1460,-0.173168,0.247383,4.477629,-4.081817
1480,-0.371074,0.148430,4.576582,-4.007602
1500,-0.346336,0.123691,4.601320,-3.982863
1520,-0.420551,0.123691,4.601320,-3.982863
1540,-0.272121,0.173168,4.601320,-4.106555
1560,-0.272121,0.222645,4.502367,-4.057078
1580,-0.346336,0.148430,4.502367,-4.007602
1600,-0.420551,0.148430,4.700274,-3.982863
1626,-0.247383,0.148430,4.428153,-4.106555
1640,-0.247383,0.272121,4.477629,-4.106555
1660,-0.321598,0.222645,4.576582,-4.106555
1680,-0.420551,0.074215,4.749750,-3.908648
1700,-0.445289,0.123691,4.675535,-3.958125
1720,-0.247383,0.222645,4.576582,-4.106555
1740,-0.272121,0.222645,4.601320,-4.081817
1760,-0.321598,0.173168,4.675535,-4.007602
1780,-0.371074,0.123691,4.675535,-3.908648
1800,-0.272121,0.222645,4.601320,-4.007602
1820,-0.247383,0.272121,4.477629,-4.180769
1840,-0.346336,0.173168,4.675535,-4.007602
1860,-0.371074,0.173168,4.700274,-3.958125
1880,-0.346336,0.173168,4.601320,-3.982863
1900,-0.321598,0.222645,4.527106,-4.057078
1920,-0.321598,0.222645,4.576582,-4.081817
1940,-0.371074,0.148430,4.675535,-3.958125
1960,-0.371074,0.173168,4.601320,-3.908648
1980,-0.321598,0.123691,4.527106,-3.982863
2000,-0.247383,0.247383,4.502367,-4.057078
2020,-0.346336,0.173168,4.626059,-3.982863
2040,-0.346336,0.123691,4.601320,-3.958125
2060,-0.346336,0.148430,4.675535,-3.958125
2080,-0.321598,0.222645,4.601320,-4.057078
