timestamp_ms,joint_val_1,joint_val_2,joint_val_3,joint_val_4
0,,,,
20,0.371074,0.346336,3.661266,-3.908648
40,0.371074,0.247383,3.587051,-3.859172
60,0.371074,0.321598,3.661266,-3.809695
80,0.272121,0.247383,3.686004,-3.809695
100,0.371074,0.346336,3.587051,-3.859172
121,0.371074,0.346336,3.562313,-3.908648
140,0.371074,0.346336,3.661266,-3.883910
160,0.371074,0.247383,3.710742,-3.760219
180,0.321598,0.222645,3.686004,-3.784957
200,0.445289,0.346336,3.587051,-3.908648
220,0.420551,0.346336,3.587051,-3.908648
240,0.321598,0.222645,3.710742,-3.784957
260,0.371074,0.222645,3.710742,-3.784957
280,0.371074,0.247383,3.636528,-3.809695
300,0.371074,0.247383,3.587051,-3.859172
320,0.346336,0.222645,3.686004,-3.859172
340,0.272121,0.222645,3.710742,-3.784957
360,0.371074,0.173168,3.784957,-3.760219
380,0.371074,0.321598,3.661266,-3.908648
400,0.321598,0.272121,3.661266,-3.883910
420,0.321598,0.222645,3.686004,-3.784957
440,0.247383,0.222645,3.710742,-3.784957
460,0.321598,0.247383,3.760219,-3.809695
480,0.445289,0.371074,3.587051,-3.958125
500,0.371074,0.222645,3.686004,-3.859172
520,0.321598,0.222645,3.710742,-3.809695
540,0.272121,0.247383,3.710742,-3.784957
560,0.371074,0.321598,3.661266,-3.859172
580,0.321598,0.346336,3.636528,-3.883910
600,0.272121,0.247383,3.710742,-3.809695
620,0.321598,0.247383,3.661266,-3.809695
640,0.420551,0.321598,3.710742,-3.784957
660,0.420551,0.346336,3.562313,-3.908648
680,0.272121,0.247383,3.710742,-3.784957
700,0.321598,0.247383,3.760219,-3.760219
720,0.321598,0.346336,3.686004,-3.859172
740,0.371074,0.321598,3.636528,-3.883910
760,0.371074,0.346336,3.661266,-3.883910
780,0.371074,0.222645,3.661266,-3.859172
800,0.247383,0.247383,3.686004,-3.859172
820,0.371074,0.247383,3.587051,-3.883910
840,0.371074,0.321598,3.636528,-3.883910
860,0.420551,0.321598,3.661266,-3.883910
880,0.371074,0.173168,3.710742,-3.784957
900,0.321598,0.222645,3.686004,-3.859172
920,0.371074,0.321598,3.661266,-3.883910
941,0.321598,0.321598,3.587051,-3.883910
960,0.371074,0.222645,3.661266,-3.784957
980,0.272121,0.173168,3.710742,-3.760219
1000,0.371074,0.321598,3.636528,-3.809695
1020,0.371074,0.272121,3.636528,-3.908648
1040,0.321598,0.222645,3.686004,-3.809695
1060,0.321598,0.247383,3.710742,-3.809695
1080,0.371074,0.247383,3.661266,-3.859172
1100,0.321598,0.247383,3.661266,-3.809695
1120,0.272121,0.346336,3.686004,-3.883910
1140,0.321598,0.247383,3.686004,-3.908648
1160,0.321598,0.247383,3.760219,-3.784957
1180,0.371074,0.247383,3.661266,-3.883910
1200,0.371074,0.321598,3.661266,-3.908648
1220,0.371074,0.247383,3.661266,-3.859172
1240,0.321598,0.222645,3.710742,-3.760219
1260,0.321598,0.272121,3.710742,-3.784957
1280,0.371074,0.346336,3.661266,-3.883910
1300,0.371074,0.321598,3.661266,-3.859172
1320,0.420551,0.222645,3.587051,-3.784957
1340,0.272121,0.247383,3.661266,-3.784957
1360,0.371074,0.247383,3.661266,-3.859172
1380,0.371074,0.420551,3.562313,-3.958125
1400,0.371074,0.321598,3.587051,-3.859172
