timestamp_ms,joint_val_1,joint_val_2,joint_val_3,joint_val_4
0,-0.049477,0.568980,3.488098,-3.661266
19,-0.148430,0.544242,3.587051,-3.587051
39,-0.074215,0.519504,3.562313,-3.587051
59,0.000000,0.568980,3.438621,-3.686004
79,-0.049477,0.568980,3.438621,-3.686004
99,-0.123691,0.519504,3.537574,-3.562313
119,-0.074215,0.470027,3.488098,-3.587051
139,-0.074215,0.519504,3.463359,-3.686004
159,0.000000,0.568980,3.463359,-3.686004
179,-0.123691,0.544242,3.488098,-3.686004
199,-0.049477,0.544242,3.587051,-3.562313
220,-0.123691,0.544242,3.463359,-3.587051
239,-0.049477,0.568980,3.389145,-3.760219
259,-0.049477,0.568980,3.463359,-3.661266
279,-0.074215,0.470027,3.562313,-3.587051
299,-0.123691,0.519504,3.587051,-3.587051
319,-0.148430,0.544242,3.488098,-3.636528
339,-0.049477,0.593719,3.488098,-3.784957
359,-0.123691,0.593719,3.537574,-3.710742
380,-0.148430,0.544242,3.537574,-3.562313
399,-0.173168,0.470027,3.587051,-3.537574
419,-0.123691,0.568980,3.537574,-3.661266
440,-0.123691,0.544242,3.488098,-3.710742
459,-0.148430,0.519504,3.488098,-3.636528
479,-0.074215,0.519504,3.537574,-3.661266
499,-0.074215,0.544242,3.537574,-3.587051
519,-0.074215,0.593719,3.488098,-3.686004
540,-0.074215,0.568980,3.537574,-3.587051
559,-0.074215,0.544242,3.537574,-3.661266
579,-0.123691,0.544242,3.463359,-3.661266
599,-0.049477,0.519504,3.463359,-3.686004
619,-0.049477,0.568980,3.488098,-3.661266
639,-0.074215,0.519504,3.562313,-3.587051
659,-0.123691,0.470027,3.537574,-3.537574
679,-0.123691,0.568980,3.562313,-3.661266
699,-0.024738,0.568980,3.389145,-3.686004
719,-0.049477,0.568980,3.463359,-3.661266
739,-0.123691,0.544242,3.463359,-3.661266
759,-0.123691,0.519504,3.463359,-3.661266
779,-0.148430,0.544242,3.488098,-3.686004
799,0.000000,0.568980,3.438621,-3.710742
819,-0.123691,0.544242,3.562313,-3.587051
839,-0.148430,0.470027,3.562313,-3.636528
859,-0.049477,0.519504,3.463359,-3.784957
879,0.000000,0.568980,3.463359,-3.636528
900,-0.049477,0.519504,3.488098,-3.562313
920,-0.148430,0.544242,3.463359,-3.587051
939,-0.123691,0.470027,3.587051,-3.562313
959,-0.123691,0.643195,3.389145,-3.710742
979,-0.074215,0.568980,3.463359,-3.710742
999,-0.123691,0.544242,3.488098,-3.636528
1019,-0.123691,0.519504,3.562313,-3.661266
1039,-0.049477,0.519504,3.537574,-3.661266
1063,-0.074215,0.568980,3.488098,-3.661266
1079,-0.049477,0.519504,3.438621,-3.661266
1099,-0.074215,0.470027,3.537574,-3.636528
1119,-0.074215,0.470027,3.562313,-3.537574
1139,-0.049477,0.544242,3.537574,-3.661266
1160,-0.074215,0.593719,3.463359,-3.587051
1179,-0.074215,0.544242,3.587051,-3.661266
1200,-0.123691,0.519504,3.562313,-3.587051
1219,-0.148430,0.470027,3.562313,-3.587051
1239,-0.123691,0.568980,3.537574,-3.661266
1260,0.000000,0.519504,3.488098,-3.661266
1279,-0.123691,0.519504,3.587051,-3.636528
1299,-0.123691,0.519504,3.562313,-3.562313
1319,-0.049477,0.519504,3.463359,-3.661266
1339,-0.074215,0.544242,3.488098,-3.661266
1360,-0.123691,0.568980,3.463359,-3.562313
